Best val mIoU: 0.6507

epoch	train_loss	val_loss	val_mIoU	val_Dice	val_acc
1	2.0951	3.1951	0.0913	0.1205	0.4405
2	1.3106	2.9517	0.2348	0.2932	0.7112
3	1.1509	2.4099	0.3844	0.4931	0.7825
4	1.0620	1.8251	0.4919	0.6209	0.8217
5	1.0161	1.4400	0.5331	0.6658	0.8349
6	0.9858	1.2259	0.5512	0.6837	0.8419
7	0.9599	1.1068	0.5642	0.6964	0.8464
8	0.9384	1.0378	0.5744	0.7063	0.8498
9	0.9341	0.9949	0.5822	0.7137	0.8524
10	0.9156	0.9657	0.5895	0.7206	0.8547
11	0.9018	0.9447	0.5956	0.7264	0.8565
12	0.8861	0.9280	0.6007	0.7311	0.8581
13	0.8768	0.9138	0.6058	0.7359	0.8596
14	0.8614	0.9017	0.6103	0.7400	0.8609
15	0.8567	0.8906	0.6140	0.7434	0.8621
16	0.8507	0.8793	0.6176	0.7466	0.8631
17	0.8487	0.8662	0.6207	0.7494	0.8640
18	0.8384	0.8475	0.6232	0.7517	0.8648
19	0.8388	0.8161	0.6254	0.7535	0.8655
20	0.8224	0.7767	0.6275	0.7555	0.8661
21	0.8175	0.7462	0.6294	0.7571	0.8666
22	0.8126	0.7277	0.6312	0.7587	0.8672
23	0.8117	0.7164	0.6330	0.7602	0.8677
24	0.7996	0.7083	0.6346	0.7616	0.8682
25	0.7951	0.7029	0.6361	0.7629	0.8686
26	0.7949	0.6983	0.6374	0.7639	0.8690
27	0.7939	0.6942	0.6387	0.7651	0.8694
28	0.7816	0.6903	0.6397	0.7660	0.8697
29	0.7812	0.6871	0.6407	0.7667	0.8700
30	0.7728	0.6841	0.6415	0.7675	0.8703
31	0.7716	0.6823	0.6426	0.7684	0.8705
32	0.7750	0.6803	0.6434	0.7691	0.8708
33	0.7626	0.6780	0.6443	0.7699	0.8710
34	0.7641	0.6756	0.6451	0.7705	0.8712
35	0.7629	0.6726	0.6458	0.7711	0.8714
36	0.7584	0.6701	0.6464	0.7715	0.8715
37	0.7541	0.6683	0.6469	0.7720	0.8717
38	0.7596	0.6668	0.6476	0.7726	0.8718
39	0.7497	0.6653	0.6481	0.7730	0.8720
40	0.7522	0.6642	0.6485	0.7733	0.8721
41	0.7516	0.6634	0.6488	0.7736	0.8722
42	0.7523	0.6629	0.6492	0.7739	0.8723
43	0.7532	0.6621	0.6494	0.7741	0.8724
44	0.7455	0.6615	0.6497	0.7743	0.8724
45	0.7442	0.6609	0.6500	0.7746	0.8725
46	0.7495	0.6605	0.6503	0.7748	0.8725
47	0.7433	0.6602	0.6504	0.7749	0.8725
48	0.7437	0.6599	0.6505	0.7750	0.8726
49	0.7411	0.6597	0.6506	0.7751	0.8726
50	0.7514	0.6595	0.6507	0.7751	0.8726
