Best val present-class mIoU: 0.6956

epoch	train_loss	val_loss	val_mIoU_present	val_mIoU_all	val_Dice	val_acc
1	2.4731	3.1285	0.2442	0.2442	0.2999	0.7399
2	1.8614	2.0021	0.5197	0.5197	0.6495	0.8337
3	1.7660	1.6410	0.5783	0.5783	0.7099	0.8499
4	1.6210	1.4700	0.5994	0.5994	0.7297	0.8588
5	1.5959	1.2930	0.6114	0.6114	0.7407	0.8640
6	1.5540	1.1969	0.6188	0.6188	0.7473	0.8667
7	1.5004	1.1595	0.6273	0.6273	0.7551	0.8690
8	1.4739	1.1341	0.6351	0.6351	0.7619	0.8711
9	1.4458	1.1145	0.6419	0.6419	0.7678	0.8728
10	1.4219	1.0989	0.6471	0.6471	0.7723	0.8742
11	1.4154	1.0838	0.6507	0.6507	0.7752	0.8753
12	1.4061	1.0722	0.6545	0.6545	0.7784	0.8762
13	1.3999	1.0615	0.6575	0.6575	0.7809	0.8771
14	1.3952	1.0507	0.6603	0.6603	0.7832	0.8779
15	1.3678	1.0435	0.6624	0.6624	0.7849	0.8785
16	1.3707	1.0364	0.6640	0.6640	0.7862	0.8791
17	1.3542	1.0282	0.6657	0.6657	0.7875	0.8796
18	1.3425	1.0211	0.6676	0.6676	0.7890	0.8802
19	1.3269	1.0150	0.6692	0.6692	0.7903	0.8807
20	1.3578	1.0105	0.6702	0.6702	0.7911	0.8811
21	1.3179	1.0059	0.6714	0.6714	0.7921	0.8814
22	1.3017	1.0023	0.6725	0.6725	0.7930	0.8818
23	1.3188	0.9979	0.6739	0.6739	0.7941	0.8820
24	1.3278	0.9951	0.6746	0.6746	0.7946	0.8823
25	1.2845	0.9930	0.6757	0.6757	0.7955	0.8825
26	1.3073	0.9894	0.6763	0.6763	0.7960	0.8827
27	1.2701	0.9839	0.6774	0.6774	0.7969	0.8830
28	1.2580	0.9789	0.6784	0.6784	0.7976	0.8833
29	1.2977	0.9733	0.6794	0.6794	0.7984	0.8835
30	1.2804	0.9697	0.6802	0.6802	0.7991	0.8836
31	1.2481	0.9664	0.6808	0.6808	0.7995	0.8838
32	1.2776	0.9655	0.6816	0.6816	0.8002	0.8839
33	1.2784	0.9621	0.6821	0.6821	0.8006	0.8841
34	1.2627	0.9599	0.6828	0.6828	0.8011	0.8843
35	1.2440	0.9579	0.6832	0.6832	0.8014	0.8844
36	1.2607	0.9567	0.6837	0.6837	0.8018	0.8846
37	1.2456	0.9550	0.6843	0.6843	0.8022	0.8848
38	1.2446	0.9524	0.6849	0.6849	0.8027	0.8849
39	1.2282	0.9507	0.6854	0.6854	0.8031	0.8850
40	1.2232	0.9486	0.6861	0.6861	0.8037	0.8852
41	1.2341	0.9480	0.6866	0.6866	0.8040	0.8853
42	1.2073	0.9455	0.6870	0.6870	0.8044	0.8854
43	1.2502	0.9453	0.6870	0.6870	0.8044	0.8855
44	1.2215	0.9425	0.6875	0.6875	0.8048	0.8856
45	1.2140	0.9401	0.6881	0.6881	0.8053	0.8857
46	1.2078	0.9394	0.6887	0.6887	0.8057	0.8858
47	1.2198	0.9380	0.6891	0.6891	0.8060	0.8859
48	1.2148	0.9372	0.6894	0.6894	0.8062	0.8860
49	1.1913	0.9347	0.6899	0.6899	0.8066	0.8862
50	1.1883	0.9333	0.6902	0.6902	0.8068	0.8862
51	1.1949	0.9327	0.6902	0.6902	0.8069	0.8862
52	1.1994	0.9318	0.6905	0.6905	0.8070	0.8863
53	1.1911	0.9303	0.6909	0.6909	0.8074	0.8864
54	1.2116	0.9308	0.6911	0.6911	0.8075	0.8864
55	1.1775	0.9293	0.6915	0.6915	0.8078	0.8865
56	1.1977	0.9285	0.6918	0.6918	0.8081	0.8866
57	1.1942	0.9269	0.6921	0.6921	0.8083	0.8867
58	1.1950	0.9259	0.6921	0.6921	0.8083	0.8867
59	1.1894	0.9256	0.6923	0.6923	0.8085	0.8868
60	1.1743	0.9253	0.6925	0.6925	0.8086	0.8868
61	1.1901	0.9246	0.6925	0.6925	0.8086	0.8868
62	1.2016	0.9243	0.6928	0.6928	0.8088	0.8868
63	1.1876	0.9234	0.6930	0.6930	0.8090	0.8868
64	1.1605	0.9220	0.6933	0.6933	0.8092	0.8869
65	1.1676	0.9218	0.6934	0.6934	0.8093	0.8870
66	1.1794	0.9213	0.6936	0.6936	0.8094	0.8870
67	1.1752	0.9213	0.6936	0.6936	0.8094	0.8870
68	1.1699	0.9200	0.6938	0.6938	0.8096	0.8871
69	1.1874	0.9192	0.6940	0.6940	0.8098	0.8872
70	1.1641	0.9188	0.6941	0.6941	0.8099	0.8872
71	1.1752	0.9194	0.6943	0.6943	0.8100	0.8872
72	1.2164	0.9193	0.6943	0.6943	0.8100	0.8872
73	1.1642	0.9192	0.6943	0.6943	0.8099	0.8872
74	1.1503	0.9191	0.6943	0.6943	0.8100	0.8872
75	1.1726	0.9185	0.6945	0.6945	0.8101	0.8872
76	1.1713	0.9183	0.6945	0.6945	0.8101	0.8873
77	1.1605	0.9178	0.6947	0.6947	0.8103	0.8873
78	1.1553	0.9168	0.6948	0.6948	0.8103	0.8873
79	1.1668	0.9170	0.6949	0.6949	0.8104	0.8873
80	1.1328	0.9164	0.6950	0.6950	0.8105	0.8873
81	1.1680	0.9157	0.6952	0.6952	0.8107	0.8874
82	1.1787	0.9155	0.6952	0.6952	0.8106	0.8874
