Best val present-class mIoU: 0.6676

epoch	train_loss	val_loss	val_mIoU_present	val_mIoU_all	val_Dice	val_acc
1	3.2126	3.6155	0.2459	0.2459	0.3051	0.7389
2	2.6161	2.5222	0.4617	0.4617	0.5832	0.8205
3	2.5103	2.1547	0.5417	0.5417	0.6717	0.8388
4	2.4270	1.9567	0.5618	0.5618	0.6930	0.8459
5	2.3243	1.8427	0.5754	0.5754	0.7070	0.8511
6	2.3631	1.7775	0.5832	0.5832	0.7145	0.8547
7	2.3053	1.7299	0.5910	0.5910	0.7221	0.8574
8	2.2745	1.6909	0.5980	0.5980	0.7286	0.8598
9	2.2440	1.6572	0.6018	0.6018	0.7320	0.8613
10	2.1935	1.5683	0.6086	0.6086	0.7387	0.8625
11	2.1650	1.4801	0.6145	0.6145	0.7441	0.8637
12	2.1461	1.4559	0.6170	0.6170	0.7463	0.8647
13	2.1831	1.4472	0.6178	0.6178	0.7469	0.8655
14	2.1258	1.4414	0.6203	0.6203	0.7492	0.8659
15	2.1185	1.4361	0.6221	0.6221	0.7508	0.8660
16	2.0444	1.4282	0.6243	0.6243	0.7529	0.8662
17	2.0756	1.4176	0.6262	0.6262	0.7545	0.8671
18	2.0572	1.4127	0.6280	0.6280	0.7562	0.8671
19	2.0163	1.4037	0.6297	0.6297	0.7577	0.8675
20	2.0941	1.3970	0.6311	0.6311	0.7589	0.8684
21	2.0183	1.3871	0.6334	0.6334	0.7609	0.8691
22	2.0657	1.3846	0.6342	0.6342	0.7614	0.8700
23	2.0272	1.3766	0.6352	0.6352	0.7623	0.8703
24	2.0098	1.3688	0.6378	0.6378	0.7645	0.8709
25	2.0230	1.3643	0.6398	0.6398	0.7663	0.8712
26	1.9780	1.3611	0.6412	0.6412	0.7674	0.8714
27	2.0598	1.3601	0.6415	0.6415	0.7677	0.8715
28	2.0051	1.3553	0.6431	0.6431	0.7691	0.8717
29	1.9443	1.3514	0.6441	0.6441	0.7700	0.8718
30	1.9760	1.3449	0.6449	0.6449	0.7706	0.8722
31	1.9578	1.3418	0.6459	0.6459	0.7715	0.8724
32	1.9198	1.3382	0.6472	0.6472	0.7726	0.8726
33	1.9204	1.3330	0.6488	0.6488	0.7739	0.8728
34	1.9294	1.3320	0.6489	0.6489	0.7740	0.8730
35	1.9127	1.3283	0.6494	0.6494	0.7744	0.8732
36	1.9114	1.3236	0.6508	0.6508	0.7755	0.8734
37	1.9352	1.3232	0.6515	0.6515	0.7762	0.8735
38	1.9075	1.3218	0.6519	0.6519	0.7764	0.8737
39	1.9401	1.3224	0.6521	0.6521	0.7766	0.8739
40	1.9056	1.3173	0.6527	0.6527	0.7771	0.8740
41	1.9077	1.3142	0.6536	0.6536	0.7778	0.8741
42	1.9063	1.3129	0.6538	0.6538	0.7780	0.8742
43	1.9084	1.3083	0.6542	0.6542	0.7784	0.8743
44	1.9091	1.3053	0.6546	0.6546	0.7787	0.8744
45	1.9259	1.3036	0.6556	0.6556	0.7796	0.8746
46	1.9315	1.3010	0.6562	0.6562	0.7801	0.8747
47	1.8731	1.2980	0.6572	0.6572	0.7809	0.8749
48	1.8519	1.2930	0.6581	0.6581	0.7816	0.8751
49	1.8584	1.2958	0.6584	0.6584	0.7817	0.8750
50	1.8467	1.2936	0.6590	0.6590	0.7822	0.8751
51	1.8554	1.2911	0.6599	0.6599	0.7830	0.8753
52	1.8409	1.2899	0.6601	0.6601	0.7832	0.8754
53	1.8700	1.2882	0.6597	0.6597	0.7828	0.8754
54	1.8374	1.2873	0.6597	0.6597	0.7829	0.8754
55	1.8422	1.2852	0.6600	0.6600	0.7831	0.8755
56	1.8046	1.2829	0.6605	0.6605	0.7834	0.8757
57	1.8275	1.2833	0.6608	0.6608	0.7836	0.8758
58	1.7795	1.2785	0.6615	0.6615	0.7842	0.8760
59	1.8425	1.2759	0.6616	0.6616	0.7843	0.8760
60	1.8000	1.2741	0.6618	0.6618	0.7845	0.8760
61	1.8409	1.2746	0.6624	0.6624	0.7850	0.8761
62	1.7532	1.2718	0.6629	0.6629	0.7854	0.8762
63	1.8209	1.2720	0.6636	0.6636	0.7859	0.8763
64	1.8097	1.2702	0.6644	0.6644	0.7866	0.8764
65	1.7602	1.2666	0.6650	0.6650	0.7870	0.8765
66	1.8025	1.2661	0.6654	0.6654	0.7873	0.8766
67	1.8206	1.2692	0.6650	0.6650	0.7870	0.8766
68	1.7677	1.2684	0.6649	0.6649	0.7869	0.8766
69	1.8046	1.2674	0.6649	0.6649	0.7870	0.8766
70	1.8026	1.2648	0.6651	0.6651	0.7872	0.8766
71	1.7934	1.2619	0.6653	0.6653	0.7873	0.8768
72	1.7841	1.2603	0.6656	0.6656	0.7876	0.8769
73	1.7691	1.2590	0.6661	0.6661	0.7879	0.8770
74	1.8303	1.2621	0.6659	0.6659	0.7878	0.8769
75	1.7731	1.2602	0.6660	0.6660	0.7879	0.8769
76	1.8319	1.2603	0.6663	0.6663	0.7881	0.8770
77	1.7288	1.2581	0.6663	0.6663	0.7881	0.8770
78	1.7924	1.2571	0.6666	0.6666	0.7884	0.8771
79	1.7367	1.2563	0.6666	0.6666	0.7884	0.8771
80	1.7975	1.2570	0.6667	0.6667	0.7885	0.8771
81	1.7371	1.2553	0.6669	0.6669	0.7886	0.8771
